index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
93|Malvasia Verde|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18637|0|0|10510|0|65144|0|0|0|0|173550|60915|244313|201609|165991|285416|145111|145670|253369|289366|331718|83565|60776|10979|18690|8825|5108|2460|10457|15220|nd|26597|3578|BRANCAS E ROSADAS
94|Malvasia di Candia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7318|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|403192|273020|135690|134390|146558|160845|228221|283476|628749|739588|649194|1727224|1825193|1692882|1888539|2512864|1268750|2785543|2557871|nd|3389071|1544223|BRANCAS E ROSADAS
95|Malvasia Istriana|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|300|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|1090|950|BRANCAS E ROSADAS
96|Mistura de uvas viníferas branco|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|12278|BRANCAS E ROSADAS
97|Mistura de uvas viníferas rosado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|325922|BRANCAS E ROSADAS
98|Moscato Branco|5772931|5334475|5378768|3490996|10348989|8716599|9297817|10212209|8696749|11743280|7650069|12114399|13984946|9067746|11156471|18464456|12858661|15436116|22528034|22513823|19690691|9533114|19854192|15255972|14611629|14045052|14374633|13576155|9495554|19636525|19535723|12038417|13809332|9788714|13066588|10145908|10748618|15717087|14744061|14294841|8595609|16871284|13322429|13136399|12669980|12788740|6068181|14475142|11202231|nd|11868851|12100995|BRANCAS E ROSADAS
99|Moscato Canelli|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7554|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7581|19758|1059|13112|461612|57796|84053|65107|61009|55811|92887|123255|64800|85785|72462|30378|57083|121008|nd|138482|109714|BRANCAS E ROSADAS
100|Moscato Giallo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1217|17700|115727|357251|349892|691230|703485|776846|1173519|1122457|1446926|1151570|1949920|1641498|1813522|1742605|1785956|813952|2091933|1590531|nd|1597829|6365205|BRANCAS E ROSADAS
101|Moscato Nazareno|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|287347|401583|503500|948435|921620|544530|616480|1035000|858910|690210|882104|633606|831206|886808|886075|361638|890655|639810|nd|554762|77912|BRANCAS E ROSADAS
102|Moscato Bianco R2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|287021|443153|331718|406650|430599|510594|317404|808748|618266|678267|770265|863910|257647|868260|867445|nd|864917|2920047|BRANCAS E ROSADAS
103|Moscato de Alexandria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20550|45277|32129|51979|85756|87359|41426|105384|184748|211532|160290|192945|53037|115910|95647|nd|153442|431897|BRANCAS E ROSADAS
104|Moscato Rosado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31105|1872|13219|0|0|0|5310|1226|0|0|2396|7617|0|0|0|0|0|0|0|nd|500|15030|BRANCAS E ROSADAS
105|Muscat à Petits Grains|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3000|nd|8030|895346|BRANCAS E ROSADAS
106|Muller Thurgau|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2028|7026|11881|17629|17142|36313|19915|26382|31497|40535|27587|15307|19699|15232|19128|22207|12530|7770|3820|3000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
107|Muscadelle|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2007|5536|5515|4425|5430|4215|600|842|1342|2489|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
108|Ora|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4045|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
109|Palomino|0|0|0|0|0|715|0|1156|1430|2507|3917|5329|5687|7328|19500|30395|46533|50919|62679|64664|58657|50188|75366|107812|16137|17661|29436|16819|13406|19023|28451|19125|7959|5500|4530|4184|2270|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
110|Petit Manseng|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1430|nd|0|570|BRANCAS E ROSADAS
111|Peverella|2084128|2117931|1087692|1416283|1596138|2648598|1908436|1389009|2110072|1959410|1047031|1508861|2423524|1375905|1288629|2630718|2036768|1683632|1848715|1943429|2072218|1369962|830149|1002158|1590524|781672|541364|522848|543544|224731|556215|325243|282527|159457|189972|192474|137031|111726|103270|48994|28945|64218|43656|44137|28452|40719|5557|16350|33439|nd|15858|70925|BRANCAS E ROSADAS
112|Pinot Blanc|4000|0|0|0|0|479|2066|11984|21313|930|900|572|1825|9076|15611|129010|168354|229908|413142|516219|801355|779277|356714|496546|563207|519140|536426|421175|257467|229112|486786|227064|170590|63768|77942|60704|12245|14620|40109|8030|16940|26307|10174|8720|5980|7218|0|0|17028|nd|3000|0|BRANCAS E ROSADAS
113|Pinot Gris|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2680|4771|4324|5821|4054|4091|1548|3358|992|0|257|0|0|0|0|2904|23206|41070|28779|41660|52000|36036|158788|187685|126844|118123|118118|67394|165697|98728|nd|183818|79922|BRANCAS E ROSADAS
114|Prosecco|0|0|0|0|0|0|0|0|0|0|0|0|7771|8211|9327|108830|122524|235512|449028|401705|364665|266752|249335|319841|358042|269092|325159|319186|249502|228568|455579|365590|360238|341380|395644|789457|917214|910158|1930887|2169397|1345161|2720048|2420715|2852648|3030347|3319779|1873735|3342655|4018371|nd|4393451|184218|BRANCAS E ROSADAS
115|Red Veltliner|0|0|0|0|0|0|0|0|0|0|0|1156|4240|1499|2440|4689|2522|654|1512|0|0|0|0|0|5917|9016|10527|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
116|Riesling Italico|413149|404159|304688|402329|1413722|1549553|1505603|1782484|1609807|1886081|2360144|3447930|3752318|3402460|4557416|7207668|4267206|8110697|10052438|9385386|11632192|7151423|7351738|7711434|8114641|8708541|8270792|8184477|4532556|6573788|8855066|5573372|3821716|3135257|2964308|3496056|1901717|1960822|2698892|2466530|2120405|2618429|3172992|3069854|2705224|3468606|1697248|4283929|3724926|nd|3020102|20399648|BRANCAS E ROSADAS
117|Riesling Renano|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5224|163005|426596|0|1505571|2105616|501972|456345|987266|1388349|480873|831082|609615|616675|859540|479779|380135|212917|154533|95021|282012|252740|213256|242940|243690|90530|96828|125166|195120|99230|94276|153605|53550|105100|121020|nd|108260|13385970|BRANCAS E ROSADAS
118|Sauvignon Blanc(2)|2819|5492|49244|12886|71812|43487|66163|1161046|1267449|710596|677739|880228|122285|109219|65207|190061|250087|251663|387957|594507|764746|964644|677896|1108383|1061444|1007060|945476|1022535|722142|840555|1156987|805245|544973|441667|690146|738053|606465|618034|608983|657286|350866|612060|855045|633633|515939|614222|295942|677028|517760|nd|818549|728633|BRANCAS E ROSADAS
119|Sauvignon Gris|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3213|5534|2147|3629|8513|2854|3737|921|1504|0|0|0|nd|1028|0|BRANCAS E ROSADAS
120|Seara Nova|0|0|0|0|0|0|0|0|0|0|0|0|5300|165|425|1640|965|2273|5965|5941|9338|6958|17061|17691|53320|90957|90729|72809|3707|9550|18890|9120|0|824|6597|3900|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
121|Semillon|1916|0|5172|20447|91675|99569|227838|371084|969832|1125402|1150235|1547289|2699929|2868842|3930216|7393292|6503648|6382755|9118811|8974449|9189656|4808084|4049116|4720136|4777683|4168130|4078162|3656512|2794570|2710748|4310660|2778595|2037827|1129580|1284398|1375957|600858|408016|562371|382995|165518|312204|336252|335323|149939|177672|57635|188211|225952|nd|193760|4000|BRANCAS E ROSADAS
122|Schonburger|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2155|6505|15239|17687|16930|0|14538|21348|14087|5194|0|0|7454|14354|nd|14499|5500|BRANCAS E ROSADAS
123|Sylvaner|0|0|0|0|0|0|0|0|159|1774|5468|11068|14451|34377|41038|73591|66793|51359|112726|141263|166398|105962|120621|142734|134300|88474|54173|46259|764782|84391|129489|50867|54811|14085|11273|12927|4530|4693|6587|492|0|1435|144|155|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
124|Tocai Friulano|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|923|1821|619|124|3467|3118|6143|3122|8198|7904|6530|3357|811|675|752|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
125|Trebbiano|7277270|12225175|9579813|5722394|10863544|14335368|14078518|15228827|14379466|16868971|13100126|17883890|20630475|13105231|17582216|24178593|16567251|12854969|23541232|21370782|18845488|13065462|10465345|8890736|8807970|7282643|5201279|6147074|5416678|4189110|5413475|3158394|2430532|1454210|2043524|1974463|1376390|1711643|1846212|1578176|1338957|2439317|2576020|2876041|3342859|3830336|2083491|3892478|4504485|nd|4682326|67720|BRANCAS E ROSADAS
126|Trebbiano Toscano|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2694|100047|18110|nd|122512|184310|BRANCAS E ROSADAS
127|Verdea|0|6184|0|1864|3216|4264|2648|0|1252|182|0|0|305|1315|0|0|809|0|0|0|0|0|0|0|24667|0|1837|0|0|0|0|0|52|0|60|4620|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
128|Verdelho|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7900|7785|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12420|14339|0|0|0|0|0|1800|nd|1540|15503|BRANCAS E ROSADAS
129|Verdiso|7950|770|0|0|0|0|0|0|0|0|11497|10279|24470|9251|46048|23684|0|0|5895|0|970|0|2670|0|0|0|0|1250|0|1654|1435|1370|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
130|Vermentino|20461|6097|8945|6153|8954|7070|6478|5649|3802|3848|2446|2487|717|17866|29380|32124|22409|22566|43631|40395|29830|22976|29997|31240|28165|38338|16910|20335|1130|12833|17835|11510|8960|7612|6090|6340|1040|660|3090|1940|560|5480|4844|3220|1890|790|0|0|0|nd|0|0|BRANCAS E ROSADAS
131|Vernaccia|122467|190297|111691|65995|114553|135975|142787|170590|108824|252585|197401|366796|428996|383615|826441|1450663|978903|1124796|1701470|1300388|1603877|1147439|821716|940415|898589|674738|458887|509954|319538|315739|501737|258814|125716|128334|94237|57162|34760|32672|21146|14498|6520|4930|3780|7970|4150|4760|0|5100|4020|nd|95680|0|BRANCAS E ROSADAS
132|Viognier|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|570|3219|16581|37628|41338|49935|76145|144979|200288|247081|149333|285217|95231|365103|470555|nd|531026|78305|BRANCAS E ROSADAS
133|Outras(3)|2126291|1148313|648335|334680|200652|270015|2089793|1875445|231860|0|0|0|0|0|0|26|793|1304|5724|0|0|26796|0|16341|18318|0|34280|49983|0|410|73487|23457|240894|258677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
1|Bacarina|82899|106962|67464|58690|138158|101454|57297|0|0|29525|37404|37893|0|46640|46767|55878|26538|40547|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18100|15505|17570|21520|11545|12070|16780|10810|7850|12930|3820|2990|3900|0|0|0|0|nd|0|0|TINTAS
2|Bailey|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|425674|12421|7917|35614|66503|94805|236139|235828|559815|604895|769140|912286|756000|991449|963159|442784|1370092|539742|nd|534981|4092669|TINTAS
3|Bordo|7242197|7227090|6530686|5584243|13341412|16023998|12725233|18714617|22247163|20061699|16495642|20525530|26385123|14872674|22146292|36787283|23956474|22318163|34047360|32102192|32681255|28036345|32595535|31680138|35680856|36409536|31280138|32904803|34014727|40736069|52382471|42098781|54989827|39213494|70888283|64174362|54568468|76907674|97644667|69521354|89066377|139754250|127378006|102788361|113008320|137467196|60976531|160146475|158405972|nd|129978861|117655879|TINTAS
4|Bourdin (S)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|78952|0|0|0|7270|0|0|0|0|0|0|0|0|0|0|0|26990|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
5|BRS Carmen|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2296|48450|278602|605728|1553111|2891792|2964574|6771269|7472984|nd|11540681|13771662|TINTAS
6|BRS Cora|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4370|59160|335038|1178530|2844280|3098082|3697942|4721454|5733518|5155752|10085982|8691122|nd|7326286|6442555|TINTAS
7|BRS Magna|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|600|28560|275616|1605458|2292084|nd|3989275|2094359|TINTAS
8|BRS Margot|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3679|15052|14835|42600|44328|nd|20771|86932|TINTAS
9|BRS Morena|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12114|0|0|2600|6500|0|0|0|0|nd|0|0|TINTAS
10|BRS Rúbea|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6716|32167|68948|74254|230237|308905|366671|605247|785389|718461|876076|1333903|1332139|1478269|1731895|2034788|1637818|2529215|2658828|nd|1476672|191970|TINTAS
11|BRS Violeta|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4296|132764|979695|2404076|4009589|3561414|6489062|8295873|5749538|14432937|13645751|nd|8318514|15601302|TINTAS
12|BRS Vitória|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|125731|TINTAS
13|Champagnon (Champanheta)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5905|26979|23144|5643|10848|7130|0|17498|6000|4351|3138|106|980|0|0|4640|0|nd|0|0|TINTAS
14|Coleções|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|490|0|5386|10905|13311|30942|27400|27109|11624|33408|39806|34072|47882|44847|0|4324|1140|nd|0|0|TINTAS
15|Concord|5407624|3726469|2262221|1850704|5218933|7361018|6140559|7387125|8520060|9016712|5640991|10751352|11470646|6864134|8550370|17270192|8864661|11047563|16295035|12222671|15417034|14941796|14188621|19215089|21325339|19710821|16894753|25314872|21850423|21225797|30977892|32948855|34686034|27455055|36107207|37460265|26526274|25732390|44291027|39227727|41446763|44201322|44395218|34237661|30755828|39180980|15254862|36172976|31971535|nd|9984266|367793|TINTAS
16|Concord clone 30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|942685|1720732|2745160|2326774|2923699|4293636|1770853|4676208|4809154|nd|1406305|621693|TINTAS
17|Couderc|2713692|2835642|2550812|2602220|5057735|4052782|4084126|4214237|4406881|5113513|4431263|4779453|6234132|4643069|5544207|7341937|5474248|6244818|6141396|8457905|6959591|5270323|6545413|7880808|10306977|8015634|8736532|10236308|9098481|15235782|18482712|17623308|20199921|22395538|30938797|25596933|23869435|32652378|33179502|29388964|24092319|35686727|27237702|26722044|30181906|27693447|17522126|31791586|25797806|nd|16974342|54081578|TINTAS
18|Cynthiana(1)|568653|419550|535172|360571|605039|544666|351881|738472|491780|414158|285705|388118|400575|172523|553285|467677|304481|286589|397685|327562|342604|221319|321747|394647|304456|368619|415262|470750|292590|501809|655439|788473|741160|809515|1093197|977034|932587|1705777|1220666|1279382|1151540|1249033|1492979|1290743|1490695|1596711|694778|2083008|1200824|nd|1084022|7346675|TINTAS
19|Herbemont|62053013|43864620|45765536|33214347|65865189|48754240|41938949|53226940|46594020|60116742|31377059|48717399|48220049|26085982|44313715|47677634|29438543|29335178|46197631|29443570|33234026|24856167|29784144|25696041|29001540|31362294|21055147|24288342|17315058|25009687|25932525|17762997|15343264|17060345|18289740|14772530|11490495|18204806|11962083|10968175|7598565|8954135|7246411|6142005|4045612|3282683|1013198|3642399|1325593|nd|1131251|14846723|TINTAS
20|IAC 138022|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|508580|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
21|Isabel|193840398|126754464|120365492|109787700|191946376|193394592|146746340|175906184|202315021|195149198|129236559|191757135|237185186|108170744|166802020|261311720|148440133|140066153|235678802|159406823|210877130|132328198|164527740|160040350|176725596|199803720|137107664|162509173|143410394|195025199|237507385|188547951|211737269|151317201|245112515|185966788|163125701|228558808|236664733|199729598|198927893|244626313|262942020|232518530|228517859|256440505|98302381|262423174|216921065|nd|152414695|125664882|TINTAS
22|Isabel Precoce|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8140|86037|576083|1632808|5427981|7687712|11743388|11467561|12806674|15254220|7167904|20028520|17435326|nd|12098037|12814595|TINTAS
23|Jacquez|390593|203081|278191|302686|847092|513846|495973|681039|578872|657846|422025|553100|796363|427037|807228|883337|608629|532204|841551|804883|995409|1687679|1586195|1511782|4133466|1662439|1817283|1913297|2221138|1735671|0|0|24008333|20945416|31496317|20571911|21500205|32478164|23447261|24273653|26557467|30223434|24572149|24997428|24345429|24330422|11518368|31404577|18221292|nd|8913460|17862770|TINTAS
24|Kyoko|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5395|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
25|Landot|134384|106917|63740|80995|103456|104110|87904|62198|44974|39884|36680|38773|30617|10195|8774|21485|5953|3078|8728|2005|3243|5831|1472|575|1760|935|0|0|0|0|223|1585|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
26|Mistura de uvas americanas tinto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|8617|TINTAS
27|Oberlin|15682|34722|11136|9483|47350|17264|10611|22059|13670|6207|1042|3428|5723|767|0|177|4770|85|460|276|91|0|0|0|62|0|0|0|2826|0|4380|0|2610|2230|4470|2855|952|3060|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
28|Othello|33013|106190|34525|17358|54730|53172|77044|46765|59623|3638|37273|25750|37730|10513|0|4862|4488|3295|91992|72780|57552|50940|37109|65870|70019|43847|25953|31225|55456|70987|80659|155060|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
29|Paco|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|7380|0|TINTAS
30|Patricia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14864|20310|38018|50848|20380|7085|5885|3015|3575|930|2890|0|1300|1401|nd|0|0|TINTAS
31|Seibel|11803494|8309720|8786979|7724880|12179223|11082086|9573812|11772470|9740290|10776565|8757496|13187936|10317316|8861295|12246571|13394429|7940611|8747755|19689011|11640275|14188377|10227279|13785350|12099604|20816629|16575585|14167124|18914686|14338821|27946347|31253537|20842760|4101|2550|6249764|5824509|4764595|8603117|10059544|7731667|6274394|6922384|4056234|6727381|6367679|6075113|2933430|7812493|5293981|nd|3660374|351956|TINTAS
32|Seibel 2 (seibeleto)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2842841|6693445|6423177|6330118|2559450|2417681|3349837|4276672|3974185|3062997|2839703|2491824|275998|201931|732685|1387425|2476079|1967808|nd|4538123|26032|TINTAS
33|Seyve Willard (Tinta)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|679645|862334|762802|1003113|1120345|1032585|949623|1412382|1963751|1626063|1251956|1602693|1330096|1087889|1344919|1166954|571180|1098564|802673|nd|735427|67600|TINTAS
34|Vênus|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13720|0|0|38540|15460|0|12240|21154|13925|13910|67689|2308|2000|6180|nd|2590|100570|TINTAS
36|Baco|4647|5873|5084|0|0|2610|4172|13095|0|0|0|0|319|0|0|1688|0|0|0|448|739|1699|1262|0|1952|1048|1482|1030|1012|106|0|0|155|0|0|0|28300|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
37|Bokay|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32810|56250|57680|79390|84430|37890|105130|80470|nd|91980|12830|BRANCAS E ROSADAS
38|BRS Clara|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3560|4820|4120|81130|0|0|390|0|0|nd|0|0|BRANCAS E ROSADAS
39|BRS Lorena|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|151131|565303|1366570|3312021|4861871|6117429|4804262|7776413|8792381|7354725|9165164|9168814|4520872|11704478|7529654|nd|7165025|23133629|BRANCAS E ROSADAS
40|Couderc 13|0|0|0|0|0|0|0|0|0|0|0|0|0|322338|589380|906354|982883|1977492|2218296|2614887|2790853|2506363|3007751|2841307|2341773|3376162|2627423|3702369|2598439|4524048|6123476|7809061|7605912|8908218|9332646|7870793|7903159|11367849|10071015|11021450|8001944|10982813|10185486|8564745|8990377|7605648|4286807|7955879|5524997|nd|3794245|33620117|BRANCAS E ROSADAS
41|Delaware|22705|22883|7517|0|0|0|0|0|0|19359|18249|4630|23875|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5360|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
42|Dona Zillá|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|89841|251529|83222|105665|51939|46844|13660|57310|29246|44650|35708|29190|23770|15330|12325|34170|7890|19110|15370|nd|12610|10610|BRANCAS E ROSADAS
43|Dut Chess|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16342|15706|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
44|Goethe|311458|267549|472553|113941|371399|280190|228609|20404|347450|70345|16057|72134|68360|130894|169402|301062|363437|178750|433377|328972|472611|431040|74765|76160|361587|47140|341189|337063|322158|318742|501930|379003|463452|246111|514160|522887|491419|791379|324838|480376|473521|414977|776322|469138|346269|481443|179216|248470|475568|nd|358137|104596918|BRANCAS E ROSADAS
45|IAC|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|650|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
46|Juliana|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7000|15380|4060|1500|0|0|0|0|0|0|0|0|nd|0|0|BRANCAS E ROSADAS
47|Martha|15045|21972|14716|5126|17486|13578|1108|921|10749|7396|980|1041|3567|1920|16321|9096|1155|3200|5482|8930|4001|1449|2100|0|0|4454|995|9311|4307|5128|10397|16353|15890|8845|17610|10060|9302|6038|6586|6433|11329|3060|22321|5642|3050|12334|0|6150|7040|nd|6130|113040|BRANCAS E ROSADAS
48|Mistura de uvas americanas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|1856|BRANCAS E ROSADAS
49|Moscato Embrapa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|51522|73931|875554|1149812|1445602|2328928|2813056|4274628|6621952|8598555|11229449|8594684|11200409|11303572|11763335|11902554|11248259|6173966|11771138|9535525|nd|7836758|5747131|BRANCAS E ROSADAS
