index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
21|Dolcetto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4496|5634|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
22|Durif|0|0|0|0|0|0|0|0|0|0|0|11134|7496|3052|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
23|Egiodola|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|188625|325911|373345|512792|625861|859275|1070153|899584|1265676|1366406|1157679|845205|1544746|992241|1059250|911280|1053654|519874|1567341|1047960|nd|1067591|6322152|TINTAS
24|Ekigaina|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1720|0|0|1350|2630|1720|600|1090|0|1340|2070|nd|1990|2202348|TINTAS
25|Festival (Sugraone)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18007|0|0|0|0|0|0|0|nd|0|0|TINTAS
26|Franconia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3633|0|0|9310|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
27|Freisa|1661|1519|1005|0|713|1713|1098|0|0|382|0|0|0|213|0|4208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6727|0|0|0|0|0|0|41403|24452|0|22610|14020|nd|25330|0|TINTAS
28|Gamay St Romain|0|0|189|0|0|3498|0|1226|14517|37287|52878|167142|298609|430780|519843|895817|788089|603449|777214|735344|399023|255846|297597|253209|137064|20523|66767|140363|154220|569713|86966|55041|46993|40051|32533|64571|22755|45266|59576|38260|44153|20830|10995|11615|11180|31935|0|12835|12675|nd|0|0|TINTAS
29|Gamay Beaujolais|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|48410|0|0|447830|175560|558237|364550|311457|386708|506944|548553|528897|320585|450296|215226|557368|351732|230492|342824|508063|339559|249021|320115|316366|208276|84074|164201|163664|135405|113038|121516|45952|150331|152384|nd|143278|5375879|TINTAS
30|Grand Noir|0|930|603|0|0|3056|1787|0|713|6320|3012|0|0|0|0|27537|21|56|4264|0|0|0|245|410|420|440|378|520|422|0|0|0|459|536|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
