Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
22|Espanha|261126|140507|300582|226805|362577|174608|52474|105667|87767|103825|111381|56316|119748|65961|7200|61924|52429|71472|67339|54954|132157|52892|51921|48534|166267|385466|510076|352213|370580|396453|531425|624644|435422|410133|603666|508494|971869|862045|990697|1119540|1622100|1999970|2540209|2772104|2760797|3024533|3948614|7240535|5595268|5797980|7169384|8793911|VINHOS DE MESA
23|Estados Unidos|0|915|2156|0|0|965|1800|2250|58050|32400|32400|28350|40563|21654|0|11025|5796|16517|6120|14400|27900|25655|16836|77914|93789|142331|275864|511333|381199|674683|426442|374590|139693|173327|79531|53043|61283|79376|65956|85393|194774|369806|379329|518888|788773|775131|725420|1372347|548655|534870|366584|506405|VINHOS DE MESA
24|França|91544|88714|176688|259060|316584|191546|284613|322033|355292|458369|248038|303063|313977|267008|117087|540136|625421|340250|435573|701300|479460|503488|356417|924323|1821215|2043172|1917908|3388528|3853865|3529422|3431635|3118460|2355088|1958362|2092261|1671209|2561966|2737947|2466277|2372448|2799118|3329437|3181440|3265362|3592782|3617130|3831566|5921728|4653789|5324383|5658139|6241310|VINHOS DE MESA
25|Geórgia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|33750|0|0|0|0|8164|21748|20274|19188|VINHOS DE MESA
26|Geórgia do Sul e Sandwich do Sul, Ilhas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1838|VINHOS DE MESA
27|Grécia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|670|18110|11034|52474|42449|82207|68966|13241|24244|55680|6568|40775|41601|21251|61181|13619|VINHOS DE MESA
28|Hong Kong|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|311|0|VINHOS DE MESA
29|Hungria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13391|10967|10858|10530|14600|15981|12632|15193|15073|10404|10911|18733|5117|8315|23813|23742|34591|5254|20174|VINHOS DE MESA
30|Indonesia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|36|258|0|0|VINHOS DE MESA
31|Irlanda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|107|179|0|0|VINHOS DE MESA
32|Israel|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13250|8694|8924|15782|16382|8439|24622|7734|19028|12548|37302|40354|52237|38239|60281|VINHOS DE MESA
33|Itália|58802|108409|142196|258754|305763|250541|304377|348461|250535|407274|217226|178772|284440|266333|132321|327976|430029|306950|410419|750290|497616|566035|540439|1333424|2745848|3859353|3771901|5203832|5481659|6187860|8261193|8113437|5878763|5237027|6190395|6010760|7983641|9177932|9723292|8387908|11911190|12025827|10506144|8308831|8566756|8261383|7936409|11538990|10154564|10323254|9659999|11231625|VINHOS DE MESA
34|Japão|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|153|0|0|VINHOS DE MESA
35|Iugoslavia|702|640|1824|1251|2520|7969|2100|1764|1764|2100|0|0|1350|0|0|14238|0|17835|20160|17100|38640|25650|25596|8550|25920|51840|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
36|Líbano|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1116|662|1431|5121|6768|10270|5310|15741|17685|5805|6588|47610|6480|10665|12737|19742|21836|12384|24194|VINHOS DE MESA
37|Luxemburgo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|VINHOS DE MESA
38|Macedônia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|252|0|0|0|0|1323|0|0|VINHOS DE MESA
39|Marrocos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|450|0|0|1755|0|0|0|2250|2160|986|VINHOS DE MESA
40|México|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7004|0|0|0|0|0|0|0|134|646|33|4|VINHOS DE MESA
41|Moldávia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5832|25998|VINHOS DE MESA
42|Montenegro|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1701|0|0|VINHOS DE MESA
43|Noruega|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|396|5|0|0|0|0|VINHOS DE MESA
44|Nova Zelândia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21139|11774|31291|31825|47220|58408|30806|102683|151194|81611|90728|106251|117340|50177|31379|130854|133179|15372|21995|VINHOS DE MESA
45|Paises Baixos (Holanda)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|283|634|2285|0|VINHOS DE MESA
46|Panamá|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17|0|0|VINHOS DE MESA
47|Peru|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|33|0|0|0|3201|0|0|0|77|0|0|0|VINHOS DE MESA
48|Porto Rico|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15658|0|0|0|0|0|0|0|0|0|0|47|21|54|0|VINHOS DE MESA
49|Portugal|785609|897310|1650727|2818320|2245288|2192004|2284423|2132582|2763298|2823760|1601931|933906|1074983|1189656|536706|1484998|2270772|1477093|1454323|1690391|1423882|1361858|1034446|1678448|2549247|5442249|4438522|5421763|4656474|4408133|5011051|5225372|3047860|3344190|4151101|5182827|5936299|6805601|6213781|5884719|7801759|8556375|9714940|9299080|9735153|9952290|10821232|17345709|17698831|18228699|23627260|25925363|VINHOS DE MESA
50|Reino Unido|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14909|7056|315|10236|621|270|406|127|315|90|5|16|4126|4819|2586|1164|VINHOS DE MESA
51|Republica Dominicana|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|VINHOS DE MESA
52|Romênia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|33750|0|4163|5950|0|18509|13719|5196|30635|33770|VINHOS DE MESA
53|Rússia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17483|0|0|32179|VINHOS DE MESA
