Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021
10;China Continental;0;0;0;0;0;0;25000;5210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148000;250669;0;0;0;0;19000;39520;19200;51100;63000;216812;100027;193223;98050;142328;0;0;0;0;53000;65028;224165;279253;934000;1352954;0;0;0;0
11;Cingapura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38150;97572;0;0;40000;77213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Emirados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196800;200604;0;0;36000;36181;49580;53853;31250;53081;89820;103183;17420;26546;0;0;17500;16119;36000;23190;18000;22750;271970;259971;329470;351485;489760;503598;182745;236628;0;0;124510;204910;39000;94203;20000;44949;35460;100631;19000;70026;240800;442625;100000;184835;40000;95856;0;0;0;0;0;0;0;0;0;0;0;0
13;Espanha;20000;9584;15000;14403;57208;59951;144000;170234;9500;14640;7500;15495;2000;5320;0;0;3000;10850;1680;7056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3222;8090;338;1158;6000;23763;6004;25691;288;1080;303;1096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;24;0;0;0;0
14;Estados Unidos;415210;305494;429346;292067;411443;456999;538195;700181;953941;1447142;494268;674204;25285;46885;171998;378357;102285;251489;53591;227326;148029;387349;126804;326790;140722;266479;329134;395315;128745;132786;157087;165238;672895;991667;117167;178174;161093;268528;196634;331736;167980;337966;135629;210446;320890;457440;772669;1214020;832061;1241890;643784;990177;732591;1405841;1397848;2457078;1306508;2037588;514513;1094056;573211;1123705;487549;773763;427744;557678;504069;767763;470966;748024;448370;966879;493921;977964;370796;780250;448157;923410;347316;783086;526225;1274258;391515;1180759;512716;1619257;538319;1622047;369887;1113398;350138;1034494;236134;636045;257670;671036;42859;244215;90132;345044;105360;266627;109043;325880
15;França;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;7;49;386;0;0;19510;33593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1474;12148;720;6016;1600;3368;658;4705;0;0;0;0;0;0;0;0;0;0;0;0
16;Grécia;178475;56586;302825;95349;369763;134178;132420;180586;139103;149364;28335;22989;0;0;20000;23500;12500;12812;25000;36813;25000;50563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154975;160597;54000;56960;81012;101264;21220;27337;19000;27170;459500;499383;138000;151548;91000;130910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4095;25496;0;0;0;0;10000;24994;0;0;4000;9248;1950;4287;1600;5156;0;0;0;0;0;0
17;Guiana Britânica;334;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Índia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128000;270168;0;0;0;0;166862;268758;36000;64213;247000;377422;57000;60717;162000;346815;397130;476398;736700;1007031;481000;677056;883000;813317;577250;504532
19;Irã;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18500;17740;17800;24319;586390;642149;1013544;872062;369269;394150;34000;44200;226480;224265;16500;23475;1128400;1329891;700130;773013;1353836;780010;528875;368147;592175;558656;929370;1001650;893890;894899;1337820;1726898;1040345;1679789;1089540;1925865;112460;191560;4112310;6968914;533570;1250450;306700;995038;1415828;2617493;942500;1700379;184500;418722;493000;1113453;1194500;1975882;340000;817941;646000;1369316;435600;927189;514700;843794
