ano,taxa_br,taxa_eua,taxa_russia,taxa_paraguai
2006,4.18,3.23,9.67,9.59
2007,3.64,2.85,09.01,8.13
2008,5.68,3.84,14.11,10.15
2009,4.89,-0.36,11.65,2.59
2010,05.04,1.64,6.85,4.65
2011,6.64,3.16,8.44,8.25
2012,5.4,02.07,05.07,3.68
2013,6.2,1.46,6.75,2.68
2014,6.33,1.62,7.82,05.03
2015,09.03,0.12,15.53,3.13
2016,8.74,1.26,07.04,04.09
2017,3.45,2.13,3.68,3.6
2018,3.66,2.44,2.88,3.98
2019,3.73,1.81,4.47,2.76
2020,3.21,1.23,3.38,1.77
2021,8.3,4.7,6.69,4.79
