ano,inflacao
2006,3.23
2007,2.85
2008,3.84
2009,-0.36
2010,1.64
2011,3.16
2012,02.07
2013,1.46
2014,1.62
2015,0.12
2016,1.26
2017,2.14
2018,2.44
2019,1.81
2020,1.23
2021,4.70
