"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.12.2022","103.746","103.536","104.516","101.632","24,92M","0,20%"
"13.12.2022","103.540","105.345","106.689","103.409","17,70M","-1,71%"
"12.12.2022","105.343","107.518","107.561","103.877","15,48M","-2,02%"
"09.12.2022","107.520","107.250","108.566","107.089","10,68M","0,25%"
"08.12.2022","107.249","109.068","109.286","106.906","14,92M","-1,67%"
"07.12.2022","109.069","110.188","110.247","108.612","13,83M","-1,02%"
"06.12.2022","110.189","109.403","110.663","109.217","13,44M","0,72%"
"05.12.2022","109.401","111.922","112.150","109.270","12,31M","-2,25%"
"02.12.2022","111.924","110.926","113.761","109.963","15,98M","0,90%"
"01.12.2022","110.926","112.479","112.479","110.548","15,19M","-1,39%"
"30.11.2022","112.486","110.910","112.486","110.202","19,70M","1,42%"
"29.11.2022","110.910","108.784","112.187","108.784","14,72M","1,96%"
"28.11.2022","108.782","108.977","109.476","108.378","11,49M","-0,18%"
"25.11.2022","108.977","111.831","112.025","108.552","12,31M","-2,55%"
"24.11.2022","111.831","108.846","112.612","108.846","10,30M","2,75%"
"23.11.2022","108.841","109.036","109.285","107.902","13,20M","-0,18%"
"22.11.2022","109.037","109.750","110.224","107.867","15,06M","-0,65%"
"21.11.2022","109.748","108.868","110.235","107.957","16,65M","0,81%"
"18.11.2022","108.870","109.706","111.585","108.512","18,77M","-0,76%"
"17.11.2022","109.703","110.241","110.242","107.245","23,12M","-0,49%"
"16.11.2022","110.243","113.166","113.473","109.512","18,35M","-2,58%"
"14.11.2022","113.161","112.256","114.322","111.930","15,08M","0,81%"
"11.11.2022","112.253","109.775","113.010","109.408","25,04M","2,26%"
"10.11.2022","109.775","113.579","113.579","108.516","26,03M","-3,35%"
"09.11.2022","113.580","116.153","116.183","113.110","20,53M","-2,22%"
"08.11.2022","116.160","115.340","117.072","114.688","14,24M","0,71%"
"07.11.2022","115.342","118.148","118.240","115.221","15,22M","-2,38%"
"04.11.2022","118.155","116.907","120.039","116.904","16,21M","1,08%"
"03.11.2022","116.896","116.927","117.373","114.485","15,63M","-0,03%"
"01.11.2022","116.929","116.037","118.261","115.547","17,97M","0,77%"
"31.10.2022","116.037","114.533","116.763","112.113","21,64M","1,31%"
"28.10.2022","114.539","114.636","114.712","113.336","14,39M","-0,09%"
"27.10.2022","114.641","112.766","116.236","112.765","15,53M","1,66%"
"26.10.2022","112.764","114.626","114.626","112.577","16,09M","-1,62%"
"25.10.2022","114.626","116.016","116.203","114.626","14,73M","-1,20%"
"24.10.2022","116.013","119.922","119.924","115.793","13,28M","-3,27%"
"21.10.2022","119.929","117.170","120.752","116.736","18,58M","2,35%"
"20.10.2022","117.171","116.276","117.367","116.276","16,92M","0,77%"
"19.10.2022","116.274","115.744","116.459","115.264","12,73M","0,46%"
"18.10.2022","115.743","113.627","115.795","113.627","14,74M","1,87%"
"17.10.2022","113.624","112.107","114.406","112.090","11,63M","1,38%"
"14.10.2022","112.072","114.301","114.712","111.631","13,10M","-1,95%"
"13.10.2022","114.300","114.819","115.367","112.690","14,58M","-0,46%"
"11.10.2022","114.827","115.928","115.928","114.297","13,14M","-0,96%"
"10.10.2022","115.941","116.377","116.841","115.261","11,43M","-0,37%"
"07.10.2022","116.375","117.560","117.960","115.924","13,62M","-1,01%"
"06.10.2022","117.561","117.200","118.382","117.144","14,52M","0,31%"
"05.10.2022","117.198","116.231","117.514","115.906","13,56M","0,83%"
"04.10.2022","116.230","116.147","118.280","115.837","16,08M","0,08%"
"03.10.2022","116.134","110.048","116.134","110.048","20,98M","5,54%"
"30.09.2022","110.037","107.664","110.502","107.315","16,54M","2,20%"
"29.09.2022","107.664","108.449","108.449","106.244","14,59M","-0,73%"
"28.09.2022","108.451","108.377","108.970","107.914","13,54M","0,07%"
"27.09.2022","108.376","109.122","110.161","108.120","14,52M","-0,68%"
"26.09.2022","109.114","111.713","111.713","109.022","13,13M","-2,33%"
"23.09.2022","111.716","114.070","114.070","110.732","13,54M","-2,06%"
"22.09.2022","114.070","111.942","114.392","111.819","15,68M","1,91%"
"21.09.2022","111.936","112.517","113.294","111.380","14,73M","-0,52%"
"20.09.2022","112.517","111.824","112.544","111.393","12,57M","0,62%"
"19.09.2022","111.824","109.283","111.976","108.508","12,59M","2,33%"
"16.09.2022","109.280","109.951","109.952","108.489","18,84M","-0,61%"
"15.09.2022","109.954","110.547","111.100","109.524","11,62M","-0,54%"
"14.09.2022","110.547","110.794","111.504","110.118","11,63M","-0,22%"
"13.09.2022","110.794","113.398","113.400","110.522","12,61M","-2,30%"
"12.09.2022","113.407","112.307","114.160","112.305","11,71M","0,98%"
"09.09.2022","112.300","109.922","112.540","109.922","12,16M","2,17%"
"08.09.2022","109.916","109.771","110.768","108.619","13,76M","0,14%"
"06.09.2022","109.764","112.203","112.203","109.348","14,30M","-2,17%"
"05.09.2022","112.203","110.868","112.671","110.865","9,52M","1,21%"
"02.09.2022","110.864","110.409","112.264","110.409","16,69M","0,42%"
"01.09.2022","110.405","109.524","110.405","108.217","14,48M","0,81%"
"31.08.2022","109.523","110.431","111.364","109.523","14,79M","-0,82%"
"30.08.2022","110.431","112.323","112.869","110.103","11,94M","-1,68%"
"29.08.2022","112.323","112.296","113.222","111.689","9,80M","0,02%"
"26.08.2022","112.299","113.533","114.091","111.978","11,16M","-1,09%"
"25.08.2022","113.532","112.898","114.156","112.768","11,84M","0,56%"
"24.08.2022","112.898","112.856","113.888","112.632","13,76M","0,04%"
"23.08.2022","112.857","110.504","112.965","110.503","11,89M","2,13%"
"22.08.2022","110.501","111.487","111.487","109.858","11,01M","-0,89%"
"19.08.2022","111.496","113.807","113.807","111.146","12,68M","-2,04%"
"18.08.2022","113.813","113.708","114.375","113.304","10,64M","0,09%"
"17.08.2022","113.708","113.508","114.146","112.483","14,65M","0,17%"
"16.08.2022","113.512","113.034","113.626","112.690","12,99M","0,43%"
"15.08.2022","113.032","112.767","113.214","111.067","15,55M","0,24%"
"12.08.2022","112.764","109.718","112.764","109.718","18,70M","2,78%"
"11.08.2022","109.718","110.236","111.310","109.604","14,94M","-0,47%"
"10.08.2022","110.236","108.658","110.362","108.657","13,38M","1,46%"
"09.08.2022","108.651","108.403","109.331","107.842","12,15M","0,23%"
"08.08.2022","108.402","106.473","108.489","106.473","12,67M","1,81%"
"05.08.2022","106.472","105.893","107.176","105.518","12,95M","0,55%"
"04.08.2022","105.892","103.777","106.162","103.777","15,50M","2,04%"
"03.08.2022","103.775","103.362","103.878","102.822","12,38M","0,40%"
"02.08.2022","103.362","102.225","103.660","101.694","10,12M","1,11%"
"01.08.2022","102.225","103.165","103.317","101.764","11,63M","-0,91%"
"29.07.2022","103.165","102.597","103.989","102.514","12,93M","0,55%"
"28.07.2022","102.597","101.437","102.686","101.045","11,13M","1,14%"
"27.07.2022","101.438","99.773","101.471","99.772","10,26M","1,67%"
"26.07.2022","99.772","100.270","100.753","99.365","9,14M","-0,50%"
"25.07.2022","100.270","98.926","100.508","98.925","8,62M","1,36%"
"22.07.2022","98.925","99.034","99.724","98.321","10,03M","-0,11%"
"21.07.2022","99.033","98.286","99.057","97.088","10,06M","0,76%"
"20.07.2022","98.287","98.244","98.366","97.277","12,94M","0,04%"
"19.07.2022","98.245","96.920","98.346","96.917","10,30M","1,37%"
"18.07.2022","96.916","96.553","98.291","96.553","10,74M","0,38%"
"15.07.2022","96.551","96.119","96.971","95.267","11,35M","0,45%"
"14.07.2022","96.121","97.879","97.879","95.431","12,58M","-1,80%"
"13.07.2022","97.881","98.258","98.928","97.403","12,21M","-0,40%"
"12.07.2022","98.271","98.212","98.737","97.253","12,57M","0,06%"
"11.07.2022","98.212","100.282","100.282","97.854","8,89M","-2,07%"
"08.07.2022","100.289","100.732","101.577","99.958","9,73M","-0,44%"
"07.07.2022","100.730","98.722","101.420","98.722","12,70M","2,04%"
