Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
24|Camarões|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1749|0|0|0|0|VINHOS DE MESA
25|Canadá|0|0|0|0|19404|3564|7920|1188|0|0|444217|128710|0|0|0|0|0|0|2000|756|2925|0|1503|752|2864|23291|15143|4475|4480|0|4480|0|0|0|675|117|450|4172|20949|15664|0|28906|14304|25329|35082|24547|13711|6075|5308|1589|1672|1172|VINHOS DE MESA
26|Catar|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13338|0|0|0|1|VINHOS DE MESA
27|Cayman, Ilhas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19|19|123|104|VINHOS DE MESA
28|Chile|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|900|0|0|0|160|0|0|0|0|0|0|0|0|31|0|0|0|1988|60930|0|1475|0|0|8550|0|0|0|0|0|11049|0|11|26|VINHOS DE MESA
29|China|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|404|0|0|7638|8689|1553416|795|54156|87905|40929|64040|47609|134106|67594|30835|129852|122253|61884|VINHOS DE MESA
30|Chipre|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|134|0|0|0|0|0|0|0|0|0|0|0|279|672|2478|1855|VINHOS DE MESA
31|Cingapura|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31|0|0|7270|1233|2419|1533|911|1212|766|541|1116|5445|0|3298|5044|4049|0|VINHOS DE MESA
32|Colômbia|14205|3780|1294|3050|4752|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|280|312|0|0|0|0|0|0|0|8|0|0|0|0|6944|897|15660|12160|VINHOS DE MESA
33|Comores|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|VINHOS DE MESA
34|Congo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2938|1903|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|360|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
35|Coreia, Republica Sul|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1012|3520|0|0|0|0|0|0|0|8|0|120|70|103|67|VINHOS DE MESA
36|Costa do Marfim|0|0|0|0|0|0|0|0|0|0|60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
37|Costa Rica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|168|0|750|0|0|3097|0|0|0|0|0|0|0|0|0|0|0|100|31|0|0|0|0|55|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
38|Croácia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|0|VINHOS DE MESA
39|Cuba|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|172|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2669|0|0|0|2880|0|0|38875|97965|63741|62791|4776|0|0|0|VINHOS DE MESA
40|Curaçao|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12340|23930|33951|47962|32263|VINHOS DE MESA
41|Dinamarca|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|36054|32743|36450|24630|33254|24221|27328|12000|8550|19740|0|6300|0|0|0|0|3780|29172|2805|3480|518|1980|7034|32797|4716|17892|3240|7080|1278|581|0|240|659|87|VINHOS DE MESA
42|Dominica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|460|VINHOS DE MESA
43|El Salvador|0|0|1600|0|0|389|2923|45|1030|28|0|0|0|0|0|0|0|0|1550|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|55|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
44|Emirados Arabes Unidos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|363|0|2437|1398|1035|2120|675|0|640|765|585|675|360|450|581|810|VINHOS DE MESA
45|Equador|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10666|0|0|0|0|0|2700|0|0|0|0|0|0|0|0|0|0|0|2|3780|0|VINHOS DE MESA
46|Eslovaca, Republica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|585|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
47|Espanha|0|0|0|0|0|0|0|0|0|0|0|54|0|0|0|0|0|0|0|0|0|0|21949|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2942|2181|0|5206|0|1972980|0|0|0|0|6123|3540|28|0|VINHOS DE MESA
