Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
101|República Dominicana|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17225|0|0|0|0|0|0|0|0|50|0|601|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
102|Rússia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|0|0|0|0|0|0|177600|334200|266400|6207658|21912914|0|0|4528176|5893291|190656|47664|0|0|0|0|1463|181931|VINHOS DE MESA
103|São Tomé e Príncipe|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2184|0|0|0|VINHOS DE MESA
104|São Vicente e Granadinas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|VINHOS DE MESA
105|Senegal|0|0|0|0|0|0|0|0|0|0|284|178|567|353|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
106|Serra Leoa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18|9240|6525|VINHOS DE MESA
107|Singapura|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4504|VINHOS DE MESA
108|Suazilândia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|VINHOS DE MESA
109|Suécia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|559|0|0|0|0|0|0|70272|9900|0|0|0|0|0|0|4995|0|16120|919|26984|28334|0|1641|2705|3195|10404|1412|291|15445|8062|28|6|23|VINHOS DE MESA
110|Suíça|0|0|126|0|0|0|0|0|0|0|0|0|0|0|15225|0|108|0|0|0|0|0|0|405|360|0|0|0|0|0|0|0|800|7614|5188|22217|131073|26090|54384|27653|2025|0|4014|2997|27933|15872|4230|6525|0|2223|2827|627|VINHOS DE MESA
111|Suriname|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12026|0|1000|2700|900|3830|1836|3774|396|1800|6|453|900|3690|0|3206|4185|900|VINHOS DE MESA
112|Tailândia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|839|0|0|0|0|0|0|0|0|0|0|8|128|534|1334|VINHOS DE MESA
113|Taiwan (FORMOSA)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|180|0|0|0|6377|10030|0|0|4500|0|0|12519|7200|16967|14988|7589|12|963|1313|VINHOS DE MESA
114|Tanzânia|13692|0|0|0|0|0|0|0|0|0|0|1548|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
115|Tcheca, República|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7370|11855|65180|24250|85303|17135|9269|1091|6846|7960|3697|4500|2297|3837|2746|2712|2115|563|456|VINHOS DE MESA
116|Togo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|11|5160|0|0|0|0|0|0|0|0|0|0|0|0|1890|VINHOS DE MESA
117|Trinidade Tobago|0|0|0|336|612|0|0|2520|3844|4074|9684|0|0|0|0|4500|0|0|0|0|0|2323|0|1360|3912|1715|0|0|0|5463|0|0|0|10|0|54|0|0|0|0|0|0|531|0|360|0|0|0|0|0|0|0|VINHOS DE MESA
118|Tunísia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|106|0|0|0|0|0|0|0|0|0|0|0|1300|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
119|Turquia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|360|115|0|343|VINHOS DE MESA
120|Tuvalu|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|VINHOS DE MESA
121|Uruguai|0|0|0|0|0|0|0|1384|13396|31374|7602|0|0|0|0|0|0|0|0|0|0|0|0|4940|0|42042|12491|46904|49219|72533|44476|6689|27350|12250|1296|0|1008|0|0|0|914|1238|1135|1526|0|0|0|0|7711|6180|0|136774|VINHOS DE MESA
122|Vanuatu|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18|0|VINHOS DE MESA
123|Venezuela|0|3200|1350|11700|9830|4050|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20700|0|0|0|0|1029|0|14|0|0|680|71|0|4086|26415|VINHOS DE MESA
124|Vietnã|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2013|0|0|743|8820|0|0|0|0|0|0|0|0|20|86|0|VINHOS DE MESA
1|Alemanha|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2816|0|0|730|549|153|3547|5423|6648|1958|1976|833|5809|9236|6256|4293|4824|4092|1003|2388|142|ESPUMANTES
2|Angola|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|600|0|0|0|430|19474|1798|784|0|368|793|419|3314|6293|2244|11393|104138|904|73|5850|6866|0|90|0|63|1007|24|0|ESPUMANTES
3|Antigua e Barbuda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|32|10|ESPUMANTES
4|Antilhas Holandesas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|180|0|9144|0|0|0|0|0|0|0|0|0|0|ESPUMANTES
5|Argentina|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22900|9873|0|0|0|0|0|36|0|6914|466|0|162827|0|0|0|0|0|0|0|0|0|0|0|0|0|4342|0|315|0|ESPUMANTES
6|Aruba|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18|0|0|0|ESPUMANTES
7|Australia|0|0|0|0|0|0|0|0|0|0|0|5766|45764|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1317|767|618|235|594|595|0|180|144|184|ESPUMANTES
8|Bahamas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|146|1001|216|270|0|0|0|0|5|18|434|179|ESPUMANTES
9|Bangladesh|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|ESPUMANTES
10|Barbados|0|0|0|0|0|225|1013|1046|938|375|1788|1976|667|360|330|37|0|0|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|57|4|ESPUMANTES
11|Belgica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3375|540|112|0|12897|0|7404|1100|104153|900|0|450|1800|1869|0|0|ESPUMANTES
12|Benin|0|0|0|0|0|0|0|0|0|0|0|0|8300|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|0|ESPUMANTES
13|Bolívia|36|350|316|240|345|876|1503|511|682|688|908|13460|790|56|145|892|1838|2367|60|7641|1650|1985|180|1593|8034|3115|0|2434|1811|28889|146128|2717|2081|7139|905|30552|1989|1537|587|0|11960|0|0|0|9|2418|2624|1668|5891|0|5994|21235|ESPUMANTES
14|Bósnia-Herzegovina|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|168|0|ESPUMANTES
15|Bulgaria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ESPUMANTES
16|Cabo Verde|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|ESPUMANTES
17|Camarões|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4138|90|0|0|0|ESPUMANTES
18|Canada|0|0|0|0|0|0|400|1200|600|600|1800|825|825|0|0|0|2165|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|225|1350|0|0|0|1894|640|10371|1847|2405|901|0|23|2185|413|253|ESPUMANTES
19|Catar|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|41|78|5|ESPUMANTES
20|Cayman, Ilhas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|0|1|ESPUMANTES
21|Chile|0|0|0|0|0|0|0|0|0|0|0|40920|0|0|0|0|0|0|0|0|0|0|0|0|0|225|0|0|0|0|600|0|0|0|678|0|115900|855|0|1673|0|0|811|0|0|0|10340|25439|25481|0|90|72|ESPUMANTES
22|China|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|75|0|0|416|1682|3219|795|5959|23520|4610|11646|19490|26247|29921|13692|ESPUMANTES
23|Chipre|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|101|307|122|ESPUMANTES
24|Cingapura|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|378|976|247|0|0|0|113|0|0|0|47214|28418|0|0|ESPUMANTES
25|Colombia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32000|7920|39960|47840|356|539|0|0|0|0|0|90|0|22|0|0|617|595|2309|804|24578|10280|ESPUMANTES
26|Coreia do Sul, Republica da|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|842|0|0|0|0|0|4950|0|212|442|3|32|24|82|ESPUMANTES
27|Costa Rica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|0|34|0|0|0|0|0|0|0|0|0|ESPUMANTES
28|Cuba|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|ESPUMANTES
29|Curaçao|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|991|801|3373|2186|5525|ESPUMANTES
30|Dinamarca|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|383|6|197|0|0|0|864|1296|3164|1296|726|68|0|662|96|452|7|ESPUMANTES
31|Dominica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|204|ESPUMANTES
32|El Salvador|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|0|0|0|0|0|0|1|0|0|0|ESPUMANTES
33|Emirados Arabes Unidos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|198|190|0|0|0|0|0|0|0|33|9|90|ESPUMANTES
34|Equador|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18720|0|0|0|0|0|0|7800|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|ESPUMANTES
35|Espanha|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|995|0|0|720|0|3375|0|0|0|5013|2271|2|29|0|ESPUMANTES
36|Estados Unidos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1071|6520|779|7|7010|33941|19131|21400|283760|35695|123001|67547|126129|91987|39748|18450|22615|22605|28542|389511|634243|801082|ESPUMANTES
37|Estonia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|495|0|369|0|0|0|0|0|0|0|0|0|ESPUMANTES
38|Filipinas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|0|0|ESPUMANTES
39|Filânldia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1287|378|693|0|0|7522|0|0|0|1078|0|ESPUMANTES
40|França|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1201|3098|0|0|0|50|0|1974|5922|0|990|1481|945|5400|7808|16246|0|0|2163|3123|7481|1015|ESPUMANTES
41|Gana|0|0|0|0|0|0|0|0|0|0|0|0|8300|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|77|0|0|0|0|0|0|0|0|0|0|0|0|0|810|0|654|ESPUMANTES
42|Gibraltar|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|43|0|0|ESPUMANTES
43|Grêcia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|63|74|97|147|ESPUMANTES
44|Guatemala|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|450|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|206|446|760|0|ESPUMANTES
45|Guiana|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|1|22|0|4|0|0|0|0|ESPUMANTES
46|Guiné Equatorial|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|7738|0|0|0|0|0|ESPUMANTES
47|Guiné-Bissau|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ESPUMANTES
48|Haiti|0|0|0|0|0|0|0|0|0|0|0|5816|0|0|0|5407|0|0|0|7829|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|48|0|0|0|0|0|0|1331|4978|ESPUMANTES
49|Honduras|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|679|7644|5769|1356|0|0|54|0|0|55|0|0|0|0|0|0|0|0|0|0|ESPUMANTES
50|Hong Kong|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|810|120|0|424|320|586|7556|414|225|450|225|2801|4124|3669|ESPUMANTES
51|Hungria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|96|ESPUMANTES
52|Índia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18|25|0|ESPUMANTES
53|Iraque|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1038|830|228|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ESPUMANTES
54|Irlanda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|360|1335|450|1373|0|0|0|0|0|14|0|0|ESPUMANTES
55|Islândia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|ESPUMANTES
56|Italia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|83|0|0|0|0|2369|99|1602|90|315|180|0|135|1467|1307|522|150|172|ESPUMANTES
57|Japão|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3105|1127|621|900|7920|1800|2250|378|1395|964|2900|4737|632|1197|17009|22290|1826|3658|48604|7853|10242|7294|6811|ESPUMANTES
58|Jordânia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|30|0|ESPUMANTES
59|Letonia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|158|0|0|0|0|ESPUMANTES
60|Líbano|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29|0|540|ESPUMANTES
61|Libéria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|300|1207|1105|795|ESPUMANTES
62|Luxemburgo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1485|590|300|1683|993|846|471|0|765|1080|0|45|360|113|495|0|0|ESPUMANTES
63|Maldivas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3023|ESPUMANTES
64|Malta|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|359|1692|364|ESPUMANTES
65|Marshall, Ilhas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|158|1594|2093|1057|ESPUMANTES
66|Montenegro|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|ESPUMANTES
67|Mexico|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|95328|0|0|0|0|0|0|0|737|0|0|0|ESPUMANTES
68|Nicarágua|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|39|0|0|0|0|0|0|0|0|0|0|ESPUMANTES
69|Nigéria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16702|0|0|0|0|0|0|0|0|1396|0|0|0|0|0|108|388|0|0|0|68|0|976|1809|4613|0|ESPUMANTES
70|Noruega|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3693|1534|567|24616|3192|0|0|81|345|172|37|ESPUMANTES
71|Nova Zelandia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|291|150|150|150|233|0|196|15|0|0|0|ESPUMANTES
72|Paises Baixos (Holanda)|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|49|199|0|2250|2896|5948|3854|1822|8280|1665|0|0|0|432|38|86|ESPUMANTES
73|Panama|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|896|0|0|0|0|0|0|8593|0|0|0|0|0|27|0|0|0|0|0|0|0|319|2929|7163|1639|ESPUMANTES
74|Paraguai|415|160|1951|75639|7900|19062|3847|18759|8122|698|2250|112|251|172|930|0|6948|14743|12826|10594|0|2076|2567|433|39798|0|825|0|432|744215|69002|48337|675|1670|8342|30133|12153|3455|4637|20099|6728|2513|3568|23603|28038|29016|40197|80951|92114|94620|16231|45629|ESPUMANTES
75|Peru|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|1577|596|0|0|ESPUMANTES
76|Polonia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2682|1545|90|0|0|0|206|225|0|0|23099|18810|14|0|ESPUMANTES
77|Porto Rico|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|45|0|0|100|0|0|0|ESPUMANTES
78|Portugal|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5387|0|0|0|0|0|0|756|1552|1288|631|21|ESPUMANTES
79|Quenia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|2025|0|0|0|0|0|0|80|1|0|0|0|100|0|0|0|0|ESPUMANTES
80|Reino Unido|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15840|0|0|0|0|0|0|0|0|0|0|0|4678|1080|3166|20880|0|13501|1980|11896|13900|131483|16511|56615|27700|14626|11049|8084|7130|ESPUMANTES
81|Republica Dominicana|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ESPUMANTES
82|Republica Tcheca|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|732|716|802|1820|493|395|0|526|0|158|7|23|94|207|0|0|0|0|ESPUMANTES
83|Russia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|47765|71654|0|0|ESPUMANTES
84|Serra Leoa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|450|225|ESPUMANTES
85|Singapura|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|979|525|ESPUMANTES
86|Suecia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|176|5922|2070|0|0|0|450|98|292|140|298|54|0|0|0|ESPUMANTES
