index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
21|Bebida de uva|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1082700|420|7900|0|0|4260|3860|922|3474|0|0|0|0|2000|DERIVADOS
22|Polpa de uva|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|890562|1350672|1006000|1083202|1188260|1352417|1951606|2480120|2797665|1742152|2484000|2371140|1620430|2507125|2112683|1480269|1803472|1180578|DERIVADOS
23|Mosto simples|7170736|7646774|6051822|21779327|41346735|48185206|18220527|22097156|40052456|34318456|37553414|48762185|37506770|27314628|17331744|10637557|7031320|7821040|16544460|8141100|13307690|17407568|27491540|17218000|10972700|20917600|12111372|19066000|11046570|14359734|16192018|6977231|12875000|13172480|26067525|22429791|25903812|37558010|53683415|53418555|45912040|77285998|93341575|58517506|57582195|100911592|49770993|101010116|88910980|135614344|80355474|153579926|DERIVADOS
24|Mosto concentrado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|354707|295800|400500|384200|732470|1098250|921400|288900|355100|335500|265000|292000|490000|381000|411354|0|0|0|0|0|83116|0|110000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DERIVADOS
25|Mosto de uva com bagaço|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1037600|0|0|0|0|0|772110|0|645816|3078256|618764|DERIVADOS
26|Mosto dessulfitado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1000|5000|1532000|DERIVADOS
27|Mistelas|1072100|818400|871200|512900|826300|223000|205500|553200|242150|60300|0|0|0|0|0|0|378400|402600|196000|32000|149000|0|0|0|0|0|0|0|0|0|33000|15000|0|5500|11500|9960|0|1900|2000|3500|0|0|200|2500|1000|0|0|1500|2000|3000|0|2500|DERIVADOS
28|Néctar de uva|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10000|1140|1000|0|3000|0|32519|46000|18187|DERIVADOS
29|Licorosos|282500|270000|254600|176500|135000|24000|4400|525000|479971|34000|0|0|0|0|0|0|0|0|3000|20000|24300|11500|7800|0|0|0|0|0|0|44740|21000|4000|0|34420|0|0|0|0|0|38000|0|0|26775|0|0|0|0|110820|0|0|0|0|DERIVADOS
30|Compostos|0|45000|1358300|1628000|0|0|0|0|75000|0|0|0|0|0|0|0|0|0|2000|1900|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7600|0|0|0|0|0|0|0|0|0|DERIVADOS
31|Jeropiga|0|0|0|0|0|0|107500|12500|60000|20000|0|0|0|0|0|234500|173000|122000|61000|42000|0|0|60000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|69000|0|0|0|0|0|0|0|0|0|2000|3540|DERIVADOS
32|Filtrado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|88000|39000|11000|18000|11000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|DERIVADOS
33|Frisante|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|831000|1003800|778500|1009000|26069|0|0|0|0|0|0|1390|DERIVADOS
34|Vinho leve|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|249000|264000|192800|144500|0|0|0|0|0|0|0|0|0|0|11000|6000|16500|0|0|0|0|0|0|0|0|0|0|0|0|8000|0|0|0|DERIVADOS
35|Vinho licoroso|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|77800|125700|28500|27926|65650|0|15000|0|0|100|36000|56000|24200|110820|124303|99485|48678|30000|DERIVADOS
36|Brandy|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13000|0|0|5216|6500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|120|DERIVADOS
